"Food and non-alcoholic beverages, Australia, quarterly and annual movement (%)"
,"Change from previous quarter (%)","Annual change (%)"
"Food and non-alcoholic beverages group","1.6","7.5"
"Bread and cereal products","2.9","11.6"
"Meat and seafoods","0.1","3.5"
"Dairy and related products","1.6","15.2"
"Fruit and vegetables","2.4","1.6"
"Food products n.e.c","1.1","11.3"
"Non alcoholic beverages","2.2","8.6"
"Meals out & takeaway foods","1.7","7.7"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia June Quarter 2023"